user_id,cluster,hit_rate,listened,total_recs
user_000001,1,0.0,0,10
user_000002,1,0.0,0,10
user_000004,1,0.0,0,10
user_000005,1,0.0,0,10
user_000006,1,0.0,0,10
user_000007,1,0.0,0,10
user_000008,1,0.0,0,10
user_000009,1,0.0,0,10
user_000012,1,0.0,0,10
user_000013,1,0.0,0,10
user_000014,1,0.0,0,10
user_000015,1,0.0,0,10
user_000016,1,0.0,0,10
user_000017,1,0.0,0,10
user_000018,1,0.0,0,10
user_000021,1,0.0,0,10
user_000022,1,0.0,0,10
user_000023,1,0.0,0,10
user_000026,1,0.0,0,10
user_000027,1,0.0,0,10
user_000028,1,0.0,0,10
user_000029,1,0.0,0,10
user_000030,1,0.0,0,10
user_000032,1,0.0,0,10
user_000033,1,0.0,0,10
user_000034,1,0.0,0,10
user_000035,1,0.0,0,10
user_000036,1,0.0,0,10
user_000038,1,0.0,0,10
user_000039,1,0.0,0,10
user_000043,1,0.0,0,10
user_000044,1,0.0,0,10
user_000045,1,0.0,0,10
user_000046,1,0.0,0,10
user_000047,1,0.0,0,10
user_000048,1,0.0,0,10
user_000049,1,0.0,0,10
user_000050,1,0.0,0,10
user_000051,1,0.0,0,10
user_000052,1,0.0,0,10
user_000053,1,0.0,0,10
user_000054,1,0.0,0,10
user_000055,1,0.0,0,10
user_000056,1,0.0,0,10
user_000057,1,0.0,0,10
user_000058,1,0.0,0,10
user_000059,1,0.0,0,10
user_000061,1,0.0,0,10
user_000062,1,0.0,0,10
user_000063,1,0.0,0,10
user_000065,1,0.0,0,10
user_000066,1,0.0,0,10
user_000069,1,0.0,0,10
user_000070,1,0.0,0,10
user_000072,1,0.0,0,10
user_000074,1,0.0,0,10
user_000075,1,0.0,0,10
user_000076,1,0.0,0,10
user_000078,1,0.0,0,10
user_000079,1,0.0,0,10
user_000080,1,0.0,0,10
user_000081,1,0.0,0,10
user_000082,1,0.0,0,10
user_000083,1,0.0,0,10
user_000084,1,0.0,0,10
user_000085,1,0.0,0,10
user_000088,1,0.0,0,10
user_000090,1,0.0,0,10
user_000091,1,0.0,0,10
user_000092,1,0.0,0,10
user_000093,1,0.0,0,10
user_000095,1,0.0,0,10
user_000096,1,0.0,0,10
user_000098,1,0.0,0,10
user_000099,1,0.0,0,10
user_000100,1,0.0,0,10
user_000101,1,0.0,0,10
user_000103,1,0.0,0,10
user_000104,1,0.0,0,10
user_000105,1,0.0,0,10
user_000106,1,0.0,0,10
user_000109,1,0.0,0,10
user_000110,1,0.0,0,10
user_000111,1,0.0,0,10
user_000112,1,0.0,0,10
user_000113,1,0.0,0,10
user_000115,1,0.0,0,10
user_000116,1,0.0,0,10
user_000118,1,0.0,0,10
user_000119,1,0.0,0,10
user_000120,1,0.0,0,10
user_000121,1,0.0,0,10
user_000122,1,0.0,0,10
user_000125,1,0.0,0,10
user_000126,1,0.0,0,10
user_000127,1,0.0,0,10
user_000128,1,0.0,0,10
user_000129,1,0.0,0,10
user_000130,1,0.0,0,10
user_000131,1,0.0,0,10
